"kommunenummer","kommunenavn","fylkesnummer","fylkesnavn","nordnorge","tilfeller","tilfeller1000","over1","dode","karantene","areal","folketall","over69","andelover69","sentralitetsindeks","ledighet","innvandrere","skatteinntekter","STN","senterpartiet","passasjererutland"
"5413","Ibestad","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,0,241.07,1361,344,0.252755326965467,438,2.6,11.32,73.1,0,19.28747,0
"5414","Gratangen","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,312.75,1091,219,0.200733272227314,496,2.6,14.3,58.6,1,46.20811,0
"5415","Loabák - Lavangen","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,301.63,1034,219,0.211798839458414,504,3.25,8.22,36.3,1,33.85147,0
"5416","Bardu","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.499375780274657,0,0,1,2703.89,4005,633,0.158052434456929,581,0.85,8.19,208.4,0,62.88372,0
"5417","Salangen","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.931966449207828,0,0,1,458,2146,405,0.188723205964585,554,2.55,12.63,93,1,46.61984,0
"5418","Målselv","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.150602409638554,0,0,0,3326.34,6640,1041,0.156777108433735,577,1.45,7.44,348.5,0,46.6447,411
"5419","Sørreisa","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,0,362.95,3464,549,0.158487297921478,613,2,9.18,154,1,19.38895,0
"5420","Dyrøy","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,288.54,1083,240,0.221606648199446,495,2.7,6.83,44.8,0,35.13514,0
"5421","Senja","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,16,1.07736852737189,1,0,0,1953.81,14851,2387,0.160729917177294,600,1.8,11.88,743.3,0,23.96623,0
"5422","Balsfjord","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.359776938298255,0,0,0,1496.96,5559,1068,0.192120885051268,560,1.75,8.94,229.6,1,28.26868,0
"5423","Karlsøy","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.909090909090909,0,0,1,1091.59,2200,491,0.223181818181818,441,1.45,14.18,79.4,1,28.81213,0
"5424","Lyngen","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.715819613457409,0,0,0,812.56,2794,632,0.226198997852541,472,1.5,6.98,101.3,1,11.87879,0
"5425","Storfjord - Omasvuotna - Omasvuono","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,0,1542.78,1829,356,0.194641880809185,505,1.45,9.08,76,1,7.40072,0
"5426","Gáivuotna - Kåfjord - Kaivuono","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,0,991.24,2071,453,0.218734910671173,431,3.45,6.86,70.2,1,25.37845,0
"5427","Skjervøy","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.341646737273659,0,0,0,473.7,2927,513,0.175264776221387,564,3.15,16.88,136.8,1,25.73427,0
"5428","Nordreisa - Ráisa - Raisi","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,3437.57,4861,788,0.162106562435713,573,2.5,7.96,194.9,1,24.62908,0
"5429","Kvænangen","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,2109.37,1191,263,0.220822837951301,437,2.1,7.3,55.6,1,24.39394,0
"5430","Guovdageaidnu - Kautokeino","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,9707.35,2910,389,0.133676975945017,481,4,7.49,83.1,1,15.14523,0
"5432","Loppa","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,688.88,888,215,0.242117117117117,368,3.45,15.32,33.4,1,29.15888,0
"5433","Hasvik","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,555.57,1005,168,0.167164179104478,351,4,23.48,34,0,19.55645,0
"5434","Måsøy","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,3,2.44897959183673,1,0,1,1135.83,1225,269,0.219591836734694,402,6.9,20.08,49.5,1,31.74342,0
"5435","Nordkapp","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,2,0.632511068943707,0,0,1,925.69,3162,506,0.160025300442758,533,3.6,17.55,135.2,1,29.73581,0
"5436","Porsanger - Porsá?gu - Porsanki","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,4872.58,3998,652,0.163081540770385,539,3.4,8.68,148,1,16.93548,227
"5437","Kárá?johka - Karasjok","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,5452.95,2628,375,0.142694063926941,565,3.15,7.27,89.9,1,29.47224,0
"5438","Lebesby","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,3459.42,1290,216,0.167441860465116,435,3,18.29,58.1,1,26.43357,0
"5439","Gamvik","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,1416.34,1132,186,0.164310954063604,408,7.7,29.59,42.8,1,12.75168,0
"5440","Berlevåg","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,1121.78,957,194,0.202716823406479,432,4.15,17.97,37.3,0,10.90573,0
"5441","Deatnu - Tana","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,4051.35,2918,503,0.172378341329678,484,2.8,11.96,111.6,1,19.47115,0
"5442","Unjárga - Nesseby","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,1436.94,926,207,0.22354211663067,471,2.6,12.2,27.3,1,20.94595,0
"5443","Båtsfjord","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.45024763619991,0,0,1,1434.78,2221,288,0.129671319225574,543,5.65,30.12,107.2,0,47.98568,0
"5444","Sør-Varanger","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,5,0.492222878519394,0,0,1,3971.42,10158,1397,0.137527072258319,630,2.8,16.74,445,1,22.45069,6
